asin,title,author,soldBy,imgUrl,productURL,stars,reviews,price,isKindleUnlimited,category_id,isBestSeller,isEditorsPick,isGoodReadsChoice,publishedDate,category_name
B078GD3DRG,Where the Crawdads Sing,Delia Owens,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/91nCsvKqE5L._AC_UY218_.jpg,https://www.amazon.com/dp/B078GD3DRG,4.7,618227,12.99,False,5,False,True,False,2018-08-14,Literature & Fiction
B0176M3U10,It Ends with Us: A Novel,Colleen Hoover,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/81s0B6NYXML._AC_UY218_.jpg,https://www.amazon.com/dp/B0176M3U10,4.7,296710,11.99,False,5,False,False,True,,Literature & Fiction
B00JO8PEN2,The Nightingale: A Novel,Kristin Hannah,Macmillan,https://m.media-amazon.com/images/I/81OkWjcf4WL._AC_UY218_.jpg,https://www.amazon.com/dp/B00JO8PEN2,4.7,289251,11.99,False,5,False,True,False,2015-02-03,Literature & Fiction
B07G17DR4X,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,,https://m.media-amazon.com/images/I/81DJwkSbt-L._AC_UY218_.jpg,https://www.amazon.com/dp/B07G17DR4X,4.4,272608,0.0,False,5,False,True,False,2019-02-05,Literature & Fiction
B0976V6YSL,Reminders of Him: A Novel,Colleen Hoover,Amazon.com Services LLC,https://m.media-amazon.com/images/I/71rdsaOMvVL._AC_UY218_.jpg,https://www.amazon.com/dp/B0976V6YSL,4.7,242575,5.99,True,5,False,True,False,2022-01-18,Literature & Fiction
B085BVSXS9,The Midnight Library: A Novel,Matt Haig,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/81JBtGoYyOL._AC_UY218_.jpg,https://www.amazon.com/dp/B085BVSXS9,4.3,234933,13.99,False,5,False,True,False,2020-09-29,Literature & Fiction
B01KGZVTOE,Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/91QJAzUvlJL._AC_UY218_.jpg,https://www.amazon.com/dp/B01KGZVTOE,4.5,227722,1.99,False,5,False,False,True,2017-05-09,Literature & Fiction
B01L1CEZ6K,Beneath a Scarlet Sky: A Novel,Mark Sullivan,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81wRnKbEwlL._AC_UY218_.jpg,https://www.amazon.com/dp/B01L1CEZ6K,4.6,223114,2.99,True,5,False,False,True,2017-05-01,Literature & Fiction
B098PW8NP8,Lessons in Chemistry: A Novel,Bonnie Garmus,Random House LLC,https://m.media-amazon.com/images/I/71P9vV-7WRL._AC_UY218_.jpg,https://www.amazon.com/dp/B098PW8NP8,4.6,219990,14.99,False,5,False,True,False,2022-04-05,Literature & Fiction
B00DPM7TIG,All the Light We Cannot See: A Novel,Anthony Doerr,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/81+PKzbzR2L._AC_UY218_.jpg,https://www.amazon.com/dp/B00DPM7TIG,4.5,216532,13.99,False,5,False,True,False,2014-05-06,Literature & Fiction
B072BLVM83,Educated: A Memoir,Tara Westover,Random House LLC,https://m.media-amazon.com/images/I/81nZAhdtL7L._AC_UY218_.jpg,https://www.amazon.com/dp/B072BLVM83,4.6,209864,12.99,False,16,False,True,False,2018-02-20,Teen & Young Adult
B07142R12X,Educated: The international bestselling memoir,Tara Westover,,https://m.media-amazon.com/images/I/71y1Rw5qAnL._AC_UY218_.jpg,https://www.amazon.com/dp/B07142R12X,4.6,209853,0.0,False,9,False,True,False,2018-02-20,Biographies & Memoirs
B01M5IJM2U,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71sIVAqjlfL._AC_UY218_.jpg,https://www.amazon.com/dp/B01M5IJM2U,4.6,202512,14.99,False,5,False,True,False,2017-06-13,Literature & Fiction
B079ZYWJJ8,Becoming,Michelle Obama,Random House LLC,https://m.media-amazon.com/images/I/81YWpPzwt8L._AC_UY218_.jpg,https://www.amazon.com/dp/B079ZYWJJ8,4.8,195850,12.99,False,9,False,True,False,2018-11-13,Biographies & Memoirs
B00GEEB730,A Man Called Ove: A Novel,Fredrik Backman,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/81frFuTYqxL._AC_UY218_.jpg,https://www.amazon.com/dp/B00GEEB730,4.6,187920,13.99,False,5,False,False,False,2014-07-15,Literature & Fiction
B01N4VW75U,Little Fires Everywhere: A Novel,Celeste Ng,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/81m1jyK9qOL._AC_UY218_.jpg,https://www.amazon.com/dp/B01N4VW75U,4.4,179328,11.99,False,5,False,True,False,2017-09-12,Literature & Fiction
B07QQLCZY1,American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,Macmillan,https://m.media-amazon.com/images/I/81Y1tqoV51L._AC_UY218_.jpg,https://www.amazon.com/dp/B07QQLCZY1,4.6,161301,12.99,True,5,False,True,False,2020-01-21,Literature & Fiction
B005ZOBNOI,The Fault in Our Stars,John Green,Penguin Group (USA) LLC,https://m.media-amazon.com/images/I/71xkMw3wUaL._AC_UY218_.jpg,https://www.amazon.com/dp/B005ZOBNOI,4.6,160218,9.99,False,16,False,True,False,2012-01-10,Teen & Young Adult
B0756DZ4C1,The Tattooist of Auschwitz: A Novel,Heather Morris,HarperCollins Publishers,https://m.media-amazon.com/images/I/816xs8KtuEL._AC_UY218_.jpg,https://www.amazon.com/dp/B0756DZ4C1,4.6,159402,1.99,True,5,False,True,False,,Literature & Fiction
B003JFJHTS,The Handmaid's Tale,Margaret Atwood,HarperCollins Publishers,https://m.media-amazon.com/images/I/91XT4tkFFeL._AC_UY218_.jpg,https://www.amazon.com/dp/B003JFJHTS,4.3,155430,17.99,True,5,False,False,False,,Literature & Fiction
B09PNM8FFN,Things We Never Got Over (Knockemout Book 1),Lucy Score,Amazon.com Services LLC,https://m.media-amazon.com/images/I/71ODaT072wL._AC_UY218_.jpg,https://www.amazon.com/dp/B09PNM8FFN,4.5,152772,5.99,True,5,False,False,True,,Literature & Fiction
B087ZXSPGJ,The Four Winds: A Novel,Kristin Hannah,Macmillan,https://m.media-amazon.com/images/I/91J7Q1FdSDL._AC_UY218_.jpg,https://www.amazon.com/dp/B087ZXSPGJ,4.6,143644,11.99,False,5,False,True,False,2021-02-02,Literature & Fiction
B01M14UN1J,Before We Were Yours: A Novel,Lisa Wingate,Random House LLC,https://m.media-amazon.com/images/I/81PO2ZUxnTL._AC_UY218_.jpg,https://www.amazon.com/dp/B01M14UN1J,4.6,142735,9.99,False,5,False,False,True,2017-06-06,Literature & Fiction
B00U6SFUSS,The Alchemist,Paulo Coelho,HarperCollins Publishers,https://m.media-amazon.com/images/I/81ioPZFMeUL._AC_UY218_.jpg,https://www.amazon.com/dp/B00U6SFUSS,4.6,142456,14.99,False,5,False,False,False,2015-02-24,Literature & Fiction
B00OZP5VRS,A Court of Thorns and Roses,Sarah J. Maas,Amazon.com Services LLC,https://m.media-amazon.com/images/I/8180Uhc4BuL._AC_UY218_.jpg,https://www.amazon.com/dp/B00OZP5VRS,4.6,141372,8.21,False,5,False,True,False,,Literature & Fiction
